Name,ReleaseDate,Certificate,Rating,Runtime,Director,Genre,Grossing
American Teen,"Jan 19, 2008",PG-13,3/5,101 minutes,Nanette Burstein,"Documentary,Special Interest","$785,817"
Quantum of Solace,"Nov 14, 2008",PG-13,3.4/5,105 minutes,Marc Forster,"Action & Adventure,Drama,Mystery & Suspense","$168,400,000"
Under the Same Moon,"Mar 19, 2008",PG-13,3.8/5,109 minutes,Patricia Riggen,Drama,"$12,507,834"
In Jackson Heights,"Nov 6, 2015",NR,3.8/5,190 minutes,Frederick Wiseman,Documentary,
La Mujer sin Cabeza (The Headless Woman),"May 21, 2008",NR,3.3/5,87 minutes,Lucrecia Martel,"Art House & International,Drama,Mystery & Suspense",
Üç Maymun (Three Monkeys),"May 15, 2008",NR,3.6/5,109 minutes,Nuri Bilge Ceylan,"Art House & International,Drama,Mystery & Suspense",
The Curious Case of Benjamin Button,"Dec 25, 2008",PG-13,3.7/5,166 minutes,David Fincher,"Drama,Science Fiction & Fantasy,Romance","$127,490,802"
Nick and Norah's Infinite Playlist,"Oct 3, 2008",PG-13,3.5/5,89 minutes,Peter Sollett,Comedy,"$31,487,293"
Water Lilies,"Apr 4, 2008",NR,3.5/5,85 minutes,Céline Sciamma,"Art House & International,Comedy,Drama,Special Interest",
La Fille Coupée en Deux (The Girl Cut in Two) (A Girl Cut in Two),"Aug 14, 2008",NR,2.9/5,114 minutes,Claude Chabrol,"Art House & International,Comedy,Mystery & Suspense","$400,000"
"OSS 117: Le Caire Nid d'Espions (OSS 117: Cairo, Nest of Spies)","May 9, 2008",NR,3.7/5,99 minutes,Michel Hazanavicius,"Action & Adventure,Art House & International,Comedy","$88,822"
"Definitely, Maybe","Jan 24, 2008",PG-13,3.5/5,112 minutes,Adam Brooks,"Comedy,Romance","$32,000,000"
Che: Part Two (Guerrilla),"Dec 12, 2008",R,3.6/5,135 minutes,Steven Soderbergh,Drama,"$2,000,000"
Kirschblüten - Hanami (Cherry Blossoms),"Feb 11, 2008",NR,4.1/5,124 minutes,Doris Dörrie,"Art House & International,Drama,Romance","$100,000"
Tokyo!,"May 14, 2008",NR,3.5/5,112 minutes,"Michel Gondry,Leos Carax,Bong Joon Ho","Art House & International,Comedy,Drama","$300,000"
Body of War,"Apr 9, 2008",NR,4/5,87 minutes,"Phil Donahue,Ellen Spiro","Documentary,Special Interest",
Un Secret (A Secret),"Jun 5, 2008",NR,3.5/5,105 minutes,Claude Miller,Drama,"$451,586"
Afterschool,"May 18, 2008",NR,3.1/5,106 minutes,Antonio Campos,Drama,
I Served the King of England,"Aug 29, 2008",R,3.7/5,120 minutes,Jirí Menzel,"Art House & International,Comedy,Drama,Romance","$600,000"
Flow: For Love of Water,"Jan 20, 2008",G,3.9/5,84 minutes,Irena Salina,"Documentary,Special Interest",
Ashes of Time Redux,"Oct 10, 2008",R,3.7/5,94 minutes,Kar-Wai Wong,"Action & Adventure,Art House & International",
Baghead,"Jun 13, 2008",R,3/5,88 minutes,"Jay Duplass,Mark Duplass","Comedy,Drama",
Wanted,"Jun 12, 2008",R,3.6/5,110 minutes,Timur Bekmambetov,"Action & Adventure,Mystery & Suspense,Science Fiction & Fantasy","$134,294,280"
Elegy,"Feb 10, 2008",R,3.2/5,112 minutes,Isabel Coixet,Drama,"$3,456,676"
Miss Pettigrew Lives for a Day,"Mar 7, 2008",PG-13,3.5/5,92 minutes,Bharat Nalluri,"Comedy,Drama","$12,294,036"
Yella,"May 16, 2008",NR,3.2/5,89 minutes,Christian Petzold,"Art House & International,Drama,Mystery & Suspense,Romance",
Chicago 10,"Feb 27, 2008",R,3.7/5,100 minutes,Brett Morgen,"Animation,Documentary,Drama",
Standard Operating Procedure,"Apr 25, 2008",R,3.8/5,118 minutes,Errol Morris,"Documentary,Special Interest",
Kit Kittredge: An American Girl,"Jun 20, 2008",G,3.3/5,94 minutes,Patricia Rozema,"Comedy,Drama,Kids & Family","$17,533,514"
Appaloosa,"Oct 3, 2008",R,3.3/5,115 minutes,Ed Harris,"Action & Adventure,Western","$20,157,730"
Nothing But the Truth,"Sep 8, 2008",R,3.6/5,107 minutes,Rod Lurie,"Drama,Mystery & Suspense",
In Search of a Midnight Kiss,"Aug 1, 2008",NR,3.8/5,90 minutes,Alex Holdridge,"Art House & International,Comedy,Drama",
The Spiderwick Chronicles,"Jan 31, 2008",PG,3.4/5,97 minutes,Mark Waters (VIII),"Action & Adventure,Drama,Science Fiction & Fantasy","$71,148,699"
Role Models,"Nov 7, 2008",R,3.6/5,99 minutes,David Wain,Comedy,"$67,300,000"
Cloverfield,"Jan 16, 2008",PG-13,3.4/5,84 minutes,Matt Reeves,"Action & Adventure,Mystery & Suspense,Science Fiction & Fantasy","$79,952,254"
Disgrace,"Sep 6, 2008",R,3.3/5,118 minutes,Steve Jacobs,"Art House & International,Drama",
Beaufort,"Jan 18, 2008",NR,3.6/5,131 minutes,Joseph Cedar,"Action & Adventure,Drama",
Nanny McPhee Returns,"Aug 20, 2010",PG,3.3/5,109 minutes,Susanna White,"Comedy,Kids & Family,Science Fiction & Fantasy","$28,995,450"
Roman Polanski: Wanted and Desired,"Jul 18, 2008",NR,3.7/5,100 minutes,Marina Zenovich,"Documentary,Musical & Performing Arts,Special Interest",
Fifty Dead Men Walking,"Sep 10, 2008",R,3.5/5,118 minutes,Kari Skogland,"Action & Adventure,Drama","$1,748,442"
The Girl on the Train (La Fille du RER),"Jan 22, 2010",G,3/5,105 minutes,André Téchiné,"Art House & International,Drama","$207,323"
Best Of Enemies,"Jul 31, 2015",R,4/5,87 minutes,"Morgan Neville,Robert Gordon",Documentary,"$891,997"
Appropriate Behavior,"Jan 16, 2015",NR,3.5/5,90 minutes,Desiree Akhavan,Comedy,
Steve Jobs,"Oct 23, 2015",R,3.7/5,123 minutes,Danny Boyle,Drama,"$12,403,169"
The Bank Job,"Feb 19, 2008",R,3.5/5,111 minutes,Roger Donaldson,"Drama,Mystery & Suspense","$30,028,592"
Going Clear: Scientology and the Prison of Belief,"Mar 13, 2015",NR,4.2/5,120 minutes,Alex Gibney,Documentary,
99 Homes,"Sep 25, 2015",R,3.7/5,112 minutes,Ramin Bahrani,"Drama,Mystery & Suspense",
Girlhood,"Jan 30, 2015",NR,3.7/5,113 minutes,Céline Sciamma,Drama,"$60,019"
Dr. Seuss' Horton Hears a Who!,"Mar 3, 2008",G,3.6/5,86 minutes,"Steve Martino,Jimmy Hayward","Action & Adventure,Animation,Kids & Family","$154,388,002"
Love & Mercy,"Jun 5, 2015",PG-13,4/5,121 minutes,Bill Pohlad,"Drama,Musical & Performing Arts","$8,790,100"
Sherpa,"Oct 2, 2015",NR,3.9/5,117 minutes,Jennifer Peedom,Documentary,
Grandma,"Aug 21, 2015",R,3.5/5,82 minutes,Paul Weitz,Comedy,
The Gift,"Aug 7, 2015",R,3.7/5,108 minutes,Joel Edgerton,Mystery & Suspense,"$33,061,006"
Jafar Panahi's Taxi,"Oct 2, 2015",NR,3.9/5,82 minutes,Jafar Panahi,Documentary,"$321,642"
Finders Keepers,"Sep 25, 2015",R,3.7/5,82 minutes,"Bryan Carberry,Clay Tweel",Documentary,
Heart of a Dog,"Oct 21, 2015",NR,3.5/5,75 minutes,Laurie Anderson,Documentary,
Theeb,"Nov 6, 2015",NR,3.8/5,100 minutes,Naji Abu Nowar,"Action & Adventure,Drama","$128,430"
Listen To Me Marlon,"Jul 29, 2015",NR,4.2/5,102 minutes,Stevan Riley,Documentary,"$249,756"
Court,"Jul 15, 2015",NR,3.9/5,116 minutes,Chaitanya Tamhane,Drama,
Wild Tales,"Feb 20, 2015",R,4.3/5,122 minutes,Damián Szifron,"Comedy,Drama,Mystery & Suspense",
Ingrid Bergman in Her Own Words (Jag är Ingrid),"Nov 13, 2015",NR,3.5/5,114 minutes,"Stig Björkman,Stig Bjorkman",Documentary,"$137,927"
'71,"Feb 27, 2015",PG-13,3.9/5,100 minutes,Yann Demange,"Action & Adventure,Drama","$1,286,219"
Hitchcock/Truffaut,"Dec 2, 2015",PG-13,3.8/5,80 minutes,Kent Jones,Documentary,"$304,899"
The Diary Of A Teenage Girl,"Aug 7, 2015",R,3.7/5,102 minutes,Marielle Heller,Drama,
The Big Short,"Dec 23, 2015",R,4.1/5,130 minutes,Adam McKay,Drama,
The Look of Silence,"Jul 17, 2015",PG-13,4.2/5,103 minutes,Joshua Oppenheimer,"Art House & International,Documentary","$48,097"
Kurt Cobain: Montage Of Heck,"Apr 24, 2015",NR,3.9/5,132 minutes,Brett Morgen,Documentary,"$485,164"
Ex Machina,"Apr 24, 2015",R,4.1/5,108 minutes,Alex Garland,"Drama,Mystery & Suspense,Science Fiction & Fantasy","$19,012,798"
About Elly,"Apr 8, 2015",NR,4/5,119 minutes,Asghar Farhadi,"Art House & International,Drama,Kids & Family","$54,665"
Iris,"Apr 29, 2015",PG-13,3.9/5,80 minutes,Albert Maysles,Documentary,"$1,298,129"
The Second Mother (Que Horas Ela Volta?),"Aug 28, 2015",R,4.3/5,114 minutes,Anna Muylaert,Drama,
Anomalisa,"Dec 30, 2015",R,3.6/5,96 minutes,"Charlie Kaufman,Duke Johnson","Animation,Comedy,Drama",
Seymour: An Introduction,"Mar 13, 2015",PG,3.9/5,84 minutes,Ethan Hawke,Documentary,"$723,701"
"3 And 1/2 Minutes, 10 Bullets","Jun 19, 2015",NR,4.2/5,85 minutes,Marc Silver,Documentary,"$18,493"
Tangerine,"Jul 10, 2015",R,3.7/5,88 minutes,Sean Baker (II) ,"Comedy,Drama",
Bridge of Spies,"Oct 16, 2015",PG-13,4/5,135 minutes,Steven Spielberg,"Drama,Mystery & Suspense",
Mustang,"Nov 20, 2015",PG-13,4.2/5,97 minutes,Deniz Gamze Ergüven,Drama,"$560,778"
Paddington,"Jan 16, 2015",PG,3.9/5,96 minutes,Paul King (VII) ,"Comedy,Kids & Family","$85,879,985"
Phoenix,"Jul 24, 2015",PG-13,3.9/5,98 minutes,Christian Petzold,"Art House & International,Drama","$2,164,527"
Timbuktu,"Jan 28, 2015",PG-13,3.8/5,97 minutes,Abderrahmane Sissako,"Art House & International,Drama","$696,436"
Sicario,"Oct 2, 2015",R,4/5,121 minutes,Denis Villeneuve,"Action & Adventure,Drama,Mystery & Suspense",
GETT: The Trial of Viviane Amsalem,"Feb 13, 2015",NR,4/5,115 minutes,"Shlomi Elkabetz,Ronit Elkabetz","Art House & International,Drama","$650,571"
What We Do In The Shadows,"Feb 13, 2015",R,4.1/5,86 minutes,"Taika Waititi,Jemaine Clement","Comedy,Drama",
Spy,"Jun 5, 2015",R,3.9/5,117 minutes,Paul Feig,Comedy,"$89,914,425"
Son of Saul,"Dec 18, 2015",R,3.9/5,107 minutes,László Nemes,Drama,
Amy,"Jul 3, 2015",R,4.1/5,128 minutes,Asif Kapadia,"Art House & International,Documentary,Musical & Performing Arts,Special Interest","$7,851,076"
45 Years,"Dec 23, 2015",R,3.5/5,95 minutes,Andrew Haigh,Drama,"$3,489,919"
The Martian,"Oct 2, 2015",PG-13,4.3/5,164 minutes,Ridley Scott,Science Fiction & Fantasy,"$202,313,768"
Carol,"Nov 20, 2015",R,3.8/5,118 minutes,Todd Haynes,"Drama,Romance","$8,518,148"
Mission: Impossible Rogue Nation,"Jul 31, 2015",PG-13,4.1/5,131 minutes,Christopher McQuarrie,Action & Adventure,"$154,979,949"
Shaun the Sheep Movie,"Aug 5, 2015",PG,3.9/5,84 minutes,"Mark Burton,Richard Starzak","Animation,Comedy",
Room,"Oct 16, 2015",R,4.3/5,113 minutes,Lenny Abrahamson,Drama,"$14,677,654"
It Follows,"Apr 3, 2015",R,3.5/5,94 minutes,David Robert Mitchell,Horror,"$10,705,259"
Creed,"Nov 25, 2015",PG-13,4.2/5,132 minutes,Ryan Coogler,Drama,"$81,157,671"
Brooklyn,"Nov 4, 2015",PG-13,4.1/5,111 minutes,John Crowley,Drama,"$30,459,009"
Selma,"Jan 9, 2015",PG-13,4.1/5,127 minutes,Ava DuVernay,Drama,
Spotlight,"Nov 6, 2015",R,4.3/5,129 minutes,Tom McCarthy,"Drama,Mystery & Suspense",
Inside Out,"Jun 19, 2015",PG,4.3/5,94 minutes,"Pete Docter,Ronnie del Carmen","Animation,Kids & Family","$264,317,903"
Two Lovers,"May 19, 2008",R,3.2/5,100 minutes,James Gray,"Drama,Romance","$2,997,417"
Burn After Reading,"Aug 27, 2008",R,3.3/5,96 minutes,"Joel Coen,Ethan Coen","Comedy,Drama","$60,338,891"
Star Wars: Episode VII - The Force Awakens,"Dec 18, 2015",PG-13,4.2/5,136 minutes,J.J. Abrams,"Action & Adventure,Science Fiction & Fantasy","$936,658,640"
JCVD (Van Dammage),"Jun 4, 2008",R,3.5/5,92 minutes,Mabrouk El Mechri,"Action & Adventure,Comedy","$382,923"
Doubt,"Dec 12, 2008",PG-13,3.7/5,104 minutes,John Patrick Shanley,Drama,"$33,422,556"
Indiana Jones and the Kingdom of the Crystal Skull,"May 22, 2008",PG-13,3.3/5,122 minutes,Steven Spielberg,Action & Adventure,"$316,957,122"
Vicky Cristina Barcelona,"May 17, 2008",PG-13,3.6/5,96 minutes,Woody Allen,"Comedy,Drama,Romance","$23,164,041"
Lorna's Silence,"May 19, 2008",R,3.5/5,105 minutes,"Jean-Pierre Dardenne,Luc Dardenne","Art House & International,Drama",
Der Baader Meinhof Komplex (The Baader Meinhof Complex),"Sep 25, 2008",R,3.7/5,149 minutes,Uli Edel,"Action & Adventure,Art House & International,Drama","$296,294"
Meduzot (Jellyfish),"Apr 4, 2008",NR,3.8/5,78 minutes,"Etgar Keret,Shira Geffen","Comedy,Drama",
Flammen & Citronen (Flame & Citron) (The Flame and the Lemon),"Mar 28, 2008",NR,3.9/5,132 minutes,Ole Christian Madsen,"Action & Adventure,Art House & International,Drama,Mystery & Suspense",
The Black Balloon,"Feb 9, 2008",PG-13,3.9/5,102 minutes,Elissa Down,Drama,
In Bruges,"Jan 17, 2008",R,3.9/5,107 minutes,Martin McDonagh,"Comedy,Drama","$7,550,836"
Mongol,"Jun 6, 2008",R,3.7/5,121 minutes,Sergey Bodrov,"Classics,Drama","$5,600,000"
Forgetting Sarah Marshall,"Mar 10, 2008",R,3.3/5,118 minutes,Nicholas Stoller,"Comedy,Romance","$62,900,000"
Tropic Thunder,"Aug 13, 2008",R,3.5/5,107 minutes,Ben Stiller,Comedy,"$110,416,702"
I.O.U.S.A.,"Aug 22, 2008",PG,3.9/5,87 minutes,Patrick Creadon,"Documentary,Special Interest","$634,829"
Shine a Light,"Feb 7, 2008",PG-13,3.6/5,121 minutes,Martin Scorsese,"Documentary,Musical & Performing Arts","$5,300,000"
Le fils de l'épicier (The Grocer's Son),"Jun 6, 2008",NR,3.6/5,96 minutes,Eric Guirado,"Art House & International,Drama",
24 City (Er shi si cheng ji),"May 17, 2008",G,3.6/5,107 minutes,Zhangke Jia,"Art House & International,Documentary,Drama",
Rachel Getting Married,"Sep 3, 2008",R,3.3/5,113 minutes,Jonathan Demme,"Drama,Romance","$12,748,504"
I've Loved You So Long,"Oct 24, 2008",PG-13,3.9/5,117 minutes,Philippe Claudel,"Art House & International,Drama,Mystery & Suspense","$2,901,744"
Kung Fu Panda,"Jun 6, 2008",PG,3.9/5,88 minutes,"John Stevenson,Mark Osborne","Action & Adventure,Animation,Kids & Family","$215,395,021"
Frozen River,"Aug 1, 2008",R,3.3/5,97 minutes,Courtney Hunt,Drama,"$2,061,019"
Caramel,"Feb 1, 2008",PG,3.8/5,95 minutes,Nadine Labaki,"Comedy,Drama,Romance","$1,000,000"
Gonzo: The Life and Work of Hunter S. Thompson,"Jan 20, 2008",R,3.5/5,119 minutes,Alex Gibney,"Documentary,Special Interest","$1,031,095"
Wendy and Lucy,"May 22, 2008",R,3.4/5,80 minutes,Kelly Reichardt,Drama,"$700,720"
Hellboy II: The Golden Army (Hellboy 2),"Jun 28, 2008",PG-13,3.5/5,120 minutes,Guillermo del Toro,"Action & Adventure,Mystery & Suspense,Science Fiction & Fantasy","$75,754,670"
Bolt,"Nov 21, 2008",PG,3.6/5,96 minutes,"Byron Howard,Chris Williams (IX) ","Action & Adventure,Animation,Comedy","$114,053,579"
Transsiberian,"Jul 18, 2008",R,3.4/5,111 minutes,Brad Anderson,"Drama,Mystery & Suspense","$2,026,565"
Hunger,"Dec 5, 2008",R,3.7/5,92 minutes,Steve McQueen (III),"Art House & International,Drama,Special Interest",
Un Conte de Noël (A Christmas Tale),"Nov 14, 2008",NR,3.4/5,150 minutes,Arnaud Desplechin,"Art House & International,Comedy,Drama",
Momma's Man,"Aug 22, 2008",NR,3.1/5,99 minutes,Azazel Jacobs,"Art House & International,Comedy,Drama",
Ghost Town,"Sep 5, 2008",PG-13,3.3/5,102 minutes,David Koepp,"Comedy,Documentary,Science Fiction & Fantasy,Special Interest","$13,214,030"
"Not Quite Hollywood: The Wild, Untold Story of Ozploitation!","Jul 28, 2008",R,3.9/5,100 minutes,Mark Hartley,"Art House & International,Documentary,Television",
Ballast,"Oct 1, 2008",NR,3.5/5,96 minutes,Lance Hammer,"Art House & International,Drama","$100,000"
The Visitor,"Apr 25, 2008",PG-13,3.6/5,104 minutes,Tom McCarthy,Drama,"$9,234,510"
Dear Zachary: A Letter to a Son About His Father,"Oct 31, 2008",NR,4.5/5,95 minutes,Kurt Kuenne,"Documentary,Drama,Special Interest",
Trouble the Water,"Aug 22, 2008",NR,4/5,94 minutes,"Carl Deal,Tia Lessin","Documentary,Special Interest","$146,384"
Chop Shop,"Feb 27, 2008",NR,3.7/5,85 minutes,Ramin Bahrani,"Art House & International,Drama",
The Pool,"Sep 5, 2008",R,3.7/5,63 minutes,Chris Smith,"Art House & International,Comedy,Drama",
"Bigger, Stronger, Faster*","May 30, 2008",PG-13,3.2/5,106 minutes,Chris Bell,"Documentary,Special Interest","$216,748"
Gomorrah (Gomorra),"Feb 13, 2008",NR,3.5/5,137 minutes,Matteo Garrone,"Art House & International,Drama,Mystery & Suspense","$1,500,000"
Waltz with Bashir,"May 15, 2008",R,4/5,90 minutes,Ari Folman,"Animation,Art House & International,Documentary,Special Interest","$2,300,000"
The Class,"May 24, 2008",PG-13,3.8/5,128 minutes,Laurent Cantet,"Art House & International,Drama","$3,700,000"
Slumdog Millionaire,"Aug 30, 2008",R,4/5,121 minutes,Danny Boyle,"Drama,Romance","$141,243,551"
35 Rhums (35 Shots of Rum),"Sep 1, 2008",NR,3.5/5,100 minutes,Claire Denis,"Art House & International,Drama",
Sugar,"Jan 21, 2008",R,3.7/5,114 minutes,"Anna Boden,Ryan Fleck","Drama,Sports & Fitness","$1,037,595"
Happy-Go-Lucky,"Oct 10, 2008",R,3.4/5,119 minutes,Mike Leigh,"Art House & International,Comedy,Drama","$3,494,485"
WALL-E,"Jun 27, 2008",G,4.2/5,97 minutes,Andrew Stanton,"Action & Adventure,Animation,Science Fiction & Fantasy","$223,749,872"
Milk,"Nov 26, 2008",R,4/5,128 minutes,Gus Van Sant,"Drama,Gay & Lesbian","$31,716,847"
Frost/Nixon,"Dec 5, 2008",R,3.8/5,123 minutes,Ron Howard,Drama,"$18,600,000"
Les Plages d'Agnès (The Beaches of Agnes),"Sep 3, 2008",NR,4/5,100 minutes,Agnès Varda,"Art House & International,Documentary,Musical & Performing Arts",
Iron Man,"Apr 14, 2008",PG-13,4.2/5,126 minutes,"Matthew Hollaway,Mark Fergus,Hawk Ostby,Art Marcum,Matt Holloway","Action & Adventure,Science Fiction & Fantasy","$318,298,180"
How I Ended This Summer,"Jan 28, 2010",NR,3.5/5,124 minutes,"Aleksei Popogrebsky,Mirko Rucnov","Art House & International,Drama",
Burma VJ: Reporter i et Lukket Land (Burma VJ: Reporting from a Closed Country),"Nov 12, 2008",NR,4.1/5,85 minutes,"Anders Østergaard,Anders Høgsbro Østergaard","Art House & International,Documentary,Special Interest",
Let the Right One In,"Jan 26, 2008",R,4.2/5,114 minutes,Tomas Alfredson,"Art House & International,Drama,Horror","$2,100,000"
Red Hill,"Nov 5, 2010",R,3.3/5,95 minutes,Patrick Hughes,"Action & Adventure,Art House & International,Drama,Mystery & Suspense,Western","$20,898"
Greenberg,"Mar 26, 2010",R,2.9/5,100 minutes,Noah Baumbach,"Comedy,Drama","$2,293,918"
Mother and Child,"May 7, 2010",R,3.7/5,126 minutes,Rodrigo García,Drama,"$1,110,286"
Aruitemo Aruitemo (Still Walking),"Jun 28, 2008",NR,4.1/5,114 minutes,Hirokazu Koreeda,"Art House & International,Drama","$86,000"
Night Catches Us,"Dec 3, 2010",R,3.5/5,90 minutes,Tanya Hamilton,"Drama,Romance","$75,343"
Countdown to Zero,"Jul 23, 2010",PG,3.7/5,90 minutes,Lucy Walker,"Documentary,Special Interest","$271,323"
Solitary Man,"May 21, 2010",R,3.1/5,90 minutes,"Brian Koppelman,David Levien","Comedy,Drama","$4,360,548"
Cairo Time,"Aug 6, 2010",PG,3.4/5,88 minutes,Ruba Nadda,"Art House & International,Drama,Romance","$1,500,000"
Iron Man 2,"May 7, 2010",PG-13,3.7/5,124 minutes,Justin Theroux,"Action & Adventure,Science Fiction & Fantasy","$312,057,433"
Disneynature Oceans,"Apr 22, 2010",G,2.9/5,103 minutes,"Jacques Cluzaud,Jacques Perrin","Documentary,Drama","$19,000,000"
Mesrine: Killer Instinct (L'instinct de mort),"Aug 27, 2010",R,3.8/5,113 minutes,Jean-François Richet,"Action & Adventure,Art House & International,Drama","$551,660"
Tiny Furniture,"Nov 12, 2010",NR,3.2/5,98 minutes,Lena Dunham,Comedy,"$389,334"
The Other Guys,"Aug 6, 2010",PG-13,3.4/5,107 minutes,Adam McKay,"Action & Adventure,Comedy","$119,219,978"
Splice,"Jun 4, 2010",R,2.6/5,100 minutes,Vincenzo Natali,"Horror,Science Fiction & Fantasy","$16,999,046"
Casino Jack And The United States Of Money,"May 7, 2010",R,3.8/5,120 minutes,Alex Gibney,"Documentary,Special Interest",
Mesrine: Public Enemy #1,"Sep 3, 2010",R,3.8/5,133 minutes,Jean-François Richet,"Action & Adventure,Drama",
City Island,"Mar 19, 2010",PG-13,3.6/5,100 minutes,Raymond De Felitta,Comedy,"$6,670,712"
Kick-Ass,"Apr 16, 2010",R,3.9/5,117 minutes,Matthew Vaughn,"Action & Adventure,Comedy,Drama","$20,000,000"
Made in Dagenham,"Nov 19, 2010",R,3.6/5,113 minutes,Nigel Cole,Drama,"$1,094,798"
The Disappearance of Alice Creed,"Aug 6, 2010",R,3.4/5,100 minutes,J Blakeson,Mystery & Suspense,"$166,980"
Fair Game,"Nov 5, 2010",PG-13,3.4/5,108 minutes,Doug Liman,"Action & Adventure,Drama,Mystery & Suspense","$9,528,092"
Nowhere Boy,"Oct 8, 2010",R,3.6/5,98 minutes,Sam Taylor-Johnson,Drama,"$1,445,366"
Mademoiselle Chambon,"Jun 11, 2010",NR,3.3/5,101 minutes,Stéphane Brizé,"Art House & International,Comedy,Drama","$530,369"
Catfish,"Sep 17, 2010",PG-13,3.5/5,86 minutes,"Ariel Schulman,Henry Joost","Documentary,Drama,Special Interest","$3,234,373"
Kisses,"Jul 16, 2010",NR,3.7/5,82 minutes,Lance Daly,"Art House & International,Drama,Romance","$81,313"
I Am Love,"Jun 18, 2010",R,3.5/5,120 minutes,Luca Guadagnino,"Art House & International,Drama","$5,004,648"
Harry Potter and the Deathly Hallows - Part 1,"Nov 19, 2010",PG-13,4.1/5,146 minutes,David Yates (II),"Action & Adventure,Drama,Kids & Family,Mystery & Suspense,Science Fiction & Fantasy","$294,980,434"
The Art Of The Steal,"Feb 26, 2010",PG,4/5,101 minutes,Don Argott,"Documentary,Musical & Performing Arts","$366,466"
"The Good, the Bad, the Weird (Joheun-nom, Nabbeun-nom, Isanghan-nom)","Apr 23, 2010",R,3.9/5,127 minutes,Kim Jee-woon,"Action & Adventure,Art House & International,Western",
Cyrus,"Jun 18, 2010",R,3.1/5,91 minutes,"Jay Duplass,Mark Duplass",Comedy,"$7,455,447"
North Face (Nordwand),"Jan 29, 2010",NR,3.8/5,121 minutes,Philipp Stölzl,"Action & Adventure,Drama","$500,948"
Looking for Eric,"May 14, 2010",G,3.7/5,116 minutes,Ken Loach,"Art House & International,Comedy,Drama,Sports & Fitness","$215,173"
Red Riding Trilogy,,NR,4/5,,,Horror,
Scott Pilgrim vs. the World,"Aug 13, 2010",PG-13,4/5,113 minutes,Edgar Wright,"Action & Adventure,Comedy,Romance","$31,494,270"
The Square,"Apr 9, 2010",R,3.5/5,106 minutes,Nash Edgerton,"Action & Adventure,Documentary,Mystery & Suspense,Special Interest","$404,898"
Four Lions,"Nov 5, 2010",R,3.8/5,102 minutes,Christopher Morris,"Comedy,Drama","$308,769"
White Material,"Nov 19, 2010",NR,3.2/5,102 minutes,Claire Denis,"Art House & International,Drama","$302,819"
Buried,"Sep 24, 2010",R,3.4/5,95 minutes,Rodrigo Cortés,Mystery & Suspense,"$200,000"
Please Give,"Apr 30, 2010",R,3.4/5,90 minutes,Nicole Holofcener,Comedy,"$4,033,268"
Farewell (L'affaire Farewell),"Jul 23, 2010",NR,3.6/5,112 minutes,Christian Carion,"Art House & International,Drama,Mystery & Suspense","$309,262"
Terribly Happy (Frygtelig lykkelig),"Feb 1, 2010",PG,3.6/5,102 minutes,Henrik Ruben Genz,"Art House & International,Drama,Mystery & Suspense","$44,411"
Get Low,"Jul 30, 2010",PG-13,3.7/5,103 minutes,Aaron Schneider,"Drama,Mystery & Suspense,Romance","$9,176,469"
The Father of My Children (Le pere de mes enfants),"May 28, 2010",NR,3.3/5,112 minutes,Mia Hansen-Løve,"Art House & International,Drama",
Mad Max: Fury Road,"May 15, 2015",R,4.2/5,120 minutes,George Miller,"Action & Adventure,Science Fiction & Fantasy","$129,483,877"
Despicable Me,"Jul 9, 2010",PG,4/5,95 minutes,"Pierre Coffin,Chris Renaud","Animation,Comedy,Kids & Family","$251,476,985"
Man on Wire,"Jan 22, 2008",PG-13,4.1/5,94 minutes,James Marsh,"Documentary,Special Interest","$2,600,296"
The Wrestler,"Sep 5, 2008",R,4/5,109 minutes,Darren Aronofsky,Drama,"$26,136,413"
The Dark Knight,"Jul 18, 2008",PG-13,4.4/5,152 minutes,Christopher Nolan,"Action & Adventure,Drama,Science Fiction & Fantasy","$533,316,061"
Rare Exports: A Christmas Tale,"Dec 3, 2010",R,3.6/5,80 minutes,Jalmari Helander,"Action & Adventure,Art House & International,Comedy,Drama,Mystery & Suspense,Science Fiction & Fantasy","$236,210"
My Dog Tulip,"Sep 1, 2010",NR,3.6/5,83 minutes,"Paul Fierlinger,Sandra Fierlinger","Animation,Drama","$246,574"
The Ghost Writer,"Feb 19, 2010",PG-13,3.5/5,68 minutes,"Hervé de Luze,Roman Polanski","Drama,Mystery & Suspense","$11,016,593"
Easy A,"Sep 17, 2010",PG-13,3.8/5,92 minutes,Will Gluck,"Comedy,Romance","$58,401,464"
Alle Anderen (Everyone Else),"Apr 9, 2010",NR,3.4/5,119 minutes,Maren Ade,"Art House & International,Comedy,Drama,Romance","$11,009"
Rabbit Hole,"Dec 17, 2010",PG-13,3.6/5,91 minutes,John Cameron Mitchell,Drama,"$2,221,809"
Client 9: The Rise and Fall of Eliot Spitzer,"Nov 5, 2010",R,3.9/5,117 minutes,Alex Gibney,"Documentary,Special Interest","$187,540"
Blue Valentine,"Dec 29, 2010",R,3.7/5,114 minutes,"Andrij Parekh,Derek Cianfrance","Drama,Romance","$9,600,000"
Unstoppable,"Nov 12, 2010",PG-13,3.7/5,98 minutes,Tony Scott,"Action & Adventure,Drama,Mystery & Suspense","$81,557,479"
Alamar (To the Sea),"Jul 14, 2010",G,4/5,73 minutes,Pedro González-Rubio,"Art House & International,Drama","$61,613"
